CPT / POD,Etichetta CPT,Campo,Etichetta Campo,Tipo Campo,Relazione (tipo),Relazione (verso)
brochure_coltura,Brochure colture,brochure-file,File,file,,
brochure_coltura,Brochure colture,brochure-language,Lingua,pick,taxonomy,lingua_aggiuntiva
brochure_coltura,Brochure colture,brochure-img,immagine,file,,
coltura,Colture,col_thumb,Thumbnail coltura,file,,
coltura,Colture,pod_hero_coltura,Immagine coltura,file,,
coltura,Colture,pod_descrizione_coltura,Descrizione coltura,wysiwyg,,
coltura,Colture,brochure_coltura,Brochure coltura,pick,post_type,brochure_coltura
documento_agente,Documenti Agente,file_pdf,File Pdf,file,,
documento_agente,Documenti Agente,data_documento,Data Documento,date,,
documenti_prodotto,Documenti prodotti,documento-prodotto,Documento prodotto,file,,
documenti_prodotto,Documenti prodotti,prodotto,Prodotto,pick,post_type,prodotto
page,Pagine,descrizione_pagina,Descrizione pagina,wysiwyg,,
prodotto,Prodotti,scheda_prodotto,Scheda Prodotto,pick,post_type,scheda_prodotto
prodotto,Prodotti,documento_prodotto,Documento Prodotto,pick,post_type,documenti_prodotto
prodotto,Prodotti,video_prodotto,Video Prodotto,pick,post_type,video
scheda_prodotto,Schede Prodotto,scheda-prodotto,Scheda Prodotto,file,,
scheda_prodotto,Schede Prodotto,prodotto,Prodotto,pick,post_type,prodotto
tipo_di_prodotto,Tipi di prodotto,tipo-thumb,Thumbnails del tipo di prodotto,file,,
tipo_di_prodotto,Tipi di prodotto,tipo-hero,Immagine Hero del tipo di prodotto,file,,
tipo_di_prodotto,Tipi di prodotto,tipo-doc,Documentazione,file,,
tipo_di_prodotto,Tipi di prodotto,tipo-video,Video,pick,post_type,video
user,User,agente_attivo,Attivo,boolean,,
user,User,via,Via/Piazza,text,,
user,User,numero_civico,Numero Civico,text,,
user,User,cap,CAP,number,,
user,User,citta,Città,text,,
user,User,provincia,Provincia,pick,custom-simple,
user,User,cellulare,Cellulare,text,,
user,User,telefono_fisso,Telefono fisso,text,,
user,User,territori,Territori,pick,custom-simple,
video,Video,video_link,Link Video,oembed,,
video,Video,prodotti_associati,Prodotto/i associati,pick,post_type,prodotto
